Layer,Name,GEOID,CHABPRZ_2024,CHABPRZ_2024_moe
(Indicator name),,,"Opioid-related ED visit rate (ED visits per 10,000 population), 2024",(90% margin of error)
(Definition),,,"Age adjusted rate of of emergency department visits due to opioid-related events and conditions, per 10,000 population.",
(Citation),,,"Illinois Department of Public Health - Hospital Discharge Data",
---,---,---,---,---
Zip code,60605,60605,6.3,2.2660714285580004
Zip code,60607,60607,25.7,5.5812500000705
Zip code,60608,60608,18.6,2.6017857143495
Zip code,60609,60609,13.8,2.350000000047
Zip code,60610,60610,10.8,2.6437499999294998
Zip code,60611,60611,8.4,2.3919642857915
Zip code,60612,60612,84.7,8.225
Zip code,60613,60613,5.0,1.6785714286284998
Zip code,60614,60614,4.1,1.3848214285815
Zip code,60615,60615,8.7,2.3080357143025
Zip code,60616,60616,4.3,1.426785714326
Zip code,60617,60617,9.4,1.7205357142085003
Zip code,60618,60618,3.0,0.923214285721
Zip code,60619,60619,21.1,2.853571428652
Zip code,60620,60620,18.2,2.6437499999294998
Zip code,60621,60621,43.7,6.1267857142555
Zip code,60622,60622,21.6,3.692857142884
Zip code,60623,60623,28.3,3.0214285714655
Zip code,60624,60624,84.0,7.679464285650501
Zip code,60625,60625,4.2,1.1750000000235
Zip code,60626,60626,9.0,2.1401785714890003
Zip code,60628,60628,22.7,3.1473214285345
Zip code,60629,60629,10.2,1.5946428571395
Zip code,60630,60630,3.3,1.3008928570925
Zip code,60631,60631,6.1,2.5178571428605
Zip code,60632,60632,4.4,1.1330357142790002
Zip code,60634,60634,4.5,1.2589285713479998
Zip code,60636,60636,35.1,5.2875000000235
Zip code,60637,60637,18.9,3.1473214285345
Zip code,60638,60638,5.6,1.6785714286284998
Zip code,60639,60639,10.4,1.7205357142085003
Zip code,60640,60640,15.6,2.350000000047
Zip code,60641,60641,7.9,1.6785714286284998
Zip code,60643,60643,10.5,2.3919642857915
Zip code,60644,60644,80.4,6.6303571428605
Zip code,60645,60645,5.5,1.7205357142085003
Zip code,60647,60647,10.4,1.9723214285109998
Zip code,60649,60649,17.7,3.0214285714655
Zip code,60651,60651,51.0,4.5741071428605
Zip code,60652,60652,7.7,2.350000000047
Zip code,60653,60653,26.1,4.3642857143025005
Zip code,60654,60654,9.6,4.238392857069
Zip code,60657,60657,3.9,1.426785714326
Zip code,60659,60659,4.6,1.8044642856975
Zip code,60660,60660,5.1,1.6785714286284998
Zip code,60707,60707,8.0,2.2241071428134997
Zip code,60827,60827,14.9,3.986607142931
