Layer,Name,GEOID,EMSOD_2023,EMSOD_2023_moe
(Indicator name),,,"Opioid-related overdoses (count of EMS responses), 2023",(90% margin of error)
(Definition),,,"Number of responses to opioid-related overdoses by Chicago Fire Department ambulances.",
(Citation),,,"National Emergency Medical Services Information System (NEMSIS)",
---,---,---,---,---
Community area,Rogers Park,1,136.0,
Community area,Norwood Park,10,18.0,
Community area,Jefferson Park,11,23.0,
Community area,Forest Glen,12,7.0,
Community area,North Park,13,17.0,
Community area,Albany Park,14,32.0,
Community area,Portage Park,15,57.0,
Community area,Irving Park,16,39.0,
Community area,Dunning,17,19.0,
Community area,Montclare,18,13.0,
Community area,Belmont Cragin,19,81.0,
Community area,West Ridge,2,46.0,
Community area,Hermosa,20,30.0,
Community area,Avondale,21,43.0,
Community area,Logan Square,22,79.0,
Community area,Humboldt Park,23,683.0,
Community area,West Town,24,184.0,
Community area,Austin,25,940.0,
Community area,West Garfield Park,26,644.0,
Community area,East Garfield Park,27,601.0,
Community area,Near West Side,28,381.0,
Community area,North Lawndale,29,522.0,
Community area,Uptown,3,91.0,
Community area,South Lawndale,30,128.0,
Community area,Lower West Side,31,63.0,
Community area,Loop,32,317.0,
Community area,Near South Side,33,34.0,
Community area,Armour Square,34,19.0,
Community area,Douglas,35,96.0,
Community area,Oakland,36,30.0,
Community area,Fuller Park,37,55.0,
Community area,Grand Boulevard,38,220.0,
Community area,Kenwood,39,41.0,
Community area,Lincoln Square,4,31.0,
Community area,Washington Park,40,120.0,
Community area,Hyde Park,41,31.0,
Community area,Woodlawn,42,198.0,
Community area,South Shore,43,376.0,
Community area,Chatham,44,224.0,
Community area,Avalon Park,45,48.0,
Community area,South Chicago,46,145.0,
Community area,Burnside,47,9.0,
Community area,Calumet Heights,48,26.0,
Community area,Roseland,49,294.0,
Community area,North Center,5,22.0,
Community area,Pullman,50,16.0,
Community area,South Deering,51,46.0,
Community area,East Side,52,9.0,
Community area,West Pullman,53,110.0,
Community area,Riverdale,54,23.0,
Community area,Hegewisch,55,11.0,
Community area,Garfield Ridge,56,83.0,
Community area,Archer Heights,57,15.0,
Community area,Brighton Park,58,38.0,
Community area,McKinley Park,59,35.0,
Community area,Lake View,6,57.0,
Community area,Bridgeport,60,26.0,
Community area,New City,61,162.0,
Community area,West Elsdon,62,12.0,
Community area,Gage Park,63,19.0,
Community area,Clearing,64,17.0,
Community area,West Lawn,65,25.0,
Community area,Chicago Lawn,66,189.0,
Community area,West Englewood,67,440.0,
Community area,Englewood,68,260.0,
Community area,Greater Grand Crossing,69,247.0,
Community area,Lincoln Park,7,37.0,
Community area,Ashburn,70,59.0,
Community area,Auburn Gresham,71,274.0,
Community area,Beverly,72,7.0,
Community area,Washington Heights,73,82.0,
Community area,Mount Greenwood,74,14.0,
Community area,Morgan Park,75,37.0,
Community area,O'Hare,76,11.0,
Community area,Edgewater,77,62.0,
Community area,Near North Side,8,203.0,
Community area,Edison Park,9,1.0,
